loan_amnt,funded_amnt,funded_amnt_inv,term,batch_enrolled,int_rate,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,zip_code,addr_state,dti,delinq_2yrs,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,collections_12_mths_ex_med,mths_since_last_major_derog,application_type,last_week_pay,acc_now_delinq,tot_coll_amt,tot_cur_bal,total_rev_hi_lim
14000,14000,14000,60 months,BAT4711174,16.24,C,C5,Data Analyst,4 years,RENT,73500,450xx,OH,28.65,1,1,20,,16,0,29828,65.3,53,3915.61,0,0,0,0,,INDIVIDUAL,104th week,0,0,85230,45700
16000,16000,16000,60 months,BAT4318899,9.49,B,B2,Senior Database Administrator,5 years,MORTGAGE,105000,275xx,NC,31.19,0,0,,,8,0,4161,19.4,63,1495.06,0,0,0,0,,INDIVIDUAL,57th week,0,0,444991,21400
11050,11050,11050,60 months,BAT446479,15.61,D,D1,Customer service representative,10+ years,RENT,62300,672xx,KS,21.73,1,0,23,115,11,1,12064,74,20,2096.21,0,0,0,0,26,INDIVIDUAL,70th week,0,0,105737,16300
35000,35000,34700,60 months,BAT4664105,12.69,C,C2,ACCT OFFICER,10+ years,OWN,150000,961xx,CA,17.27,0,0,,,21,0,32549,45,26,1756.31,0,0,0,0,,INDIVIDUAL,22th week,0,0,287022,72400
6500,6500,6500,36 months, ,6.89,A,A3,Paralegal,5 years,MORTGAGE,52000,707xx,LA,20.19,0,0,,,16,0,5133,19.2,36,172.21,0,0,0,0,,INDIVIDUAL,22th week,0,0,234278,26700
13475,13475,13475,60 months, ,18.99,E,E1,Human Resource,9 years,OWN,30000,248xx,WV,34.8,0,0,,,15,0,23742,55.6,25,3133.03,0,0,0,0,,INDIVIDUAL,70th week,0,131,29383,42700
5000,5000,5000,36 months, ,7.62,A,A3,Software Engineer,2 years,RENT,64000,532xx,WI,12.3,0,0,,,13,0,4560,26.8,24,344.69,0,0,0,0,,INDIVIDUAL,74th week,0,0,38403,17000
10000,10000,10000,60 months,BAT5662637,22.99,F,F2,Deli Manager,7 years,RENT,36400,394xx,MS,8.9,0,3,,,12,0,7002,38.5,13,1110.12,0,0,0,0,,INDIVIDUAL,26th week,0,246,7119,18200
30000,30000,30000,36 months,BAT6248271,9.17,B,B1,Registered Nurse,10+ years,RENT,110000,937xx,CA,14.52,1,0,21,,19,0,31148,61,42,1386.68,0,0,0,0,21,INDIVIDUAL,26th week,0,0,85611,51100
7000,7000,7000,60 months,BAT4467682,15.96,C,C5,HSBC,6 years,MORTGAGE,130500,125xx,NY,11.26,0,1,34,,12,0,21133,64.2,31,3051.37,0,0,0,0,,INDIVIDUAL,213th week,0,,,
